# #   index   ;    x_undf  ;    y_undf  ;    z_undf  ;    ux      ;    uy      ;    uz      ;    eps_x   ;    eps_y   ;    eps_xy  ;    eps_eqv 
520.0;0.0;106.5;2.0;0.0;0.10182;-0.00064;0.16778;-0.03292;-0.0;0.16495
522.0;0.0;108.0;2.0;0.0;0.10133;-0.00064;0.16769;-0.03251;-0.0;0.16484
524.0;0.0;109.5;2.0;0.0;0.10084;-0.00064;0.1676;-0.03212;-0.0;0.16472
526.0;0.0;111.0;2.0;0.0;0.10036;-0.00064;0.1675;-0.03172;-0.0;0.1646
528.0;0.0;112.5;2.0;0.0;0.09989;-0.00064;0.1674;-0.03133;0.0;0.16448
530.0;0.0;114.0;2.0;0.0;0.09942;-0.00064;0.16729;-0.03095;-0.0;0.16436
532.0;0.0;115.5;2.0;0.0;0.09896;-0.00064;0.16718;-0.03058;-0.0;0.16424
534.0;0.0;117.0;2.0;0.0;0.09851;-0.00064;0.16708;-0.03021;0.0;0.16412
536.0;0.0;118.5;2.0;0.0;0.09805;-0.00064;0.16696;-0.02985;-0.0;0.16399
538.0;0.0;120.0;2.0;0.0;0.09761;-0.00064;0.16685;-0.02949;-0.0;0.16387
540.0;0.0;121.5;2.0;0.0;0.09717;-0.00064;0.16674;-0.02914;-0.0;0.16375
542.0;0.0;123.0;2.0;0.0;0.09674;-0.00064;0.16663;-0.0288;-0.0;0.16362
544.0;0.0;124.5;2.0;0.0;0.09631;-0.00064;0.16651;-0.02846;-0.0;0.1635
546.0;0.0;126.0;2.0;0.0;0.09588;-0.00064;0.1664;-0.02813;0.0;0.16338
548.0;0.0;127.5;2.0;0.0;0.09546;-0.00064;0.16629;-0.02781;-0.0;0.16325
550.0;0.0;129.0;2.0;0.0;0.09505;-0.00064;0.16617;-0.02749;0.0;0.16313
552.0;0.0;130.5;2.0;0.0;0.09464;-0.00064;0.16606;-0.02718;-0.0;0.16301
554.0;0.0;132.0;2.0;0.0;0.09423;-0.00064;0.16595;-0.02688;-0.0;0.1629
556.0;0.0;133.5;2.0;0.0;0.09383;-0.00064;0.16583;-0.02659;-0.0;0.16278
558.0;0.0;135.0;2.0;0.0;0.09343;-0.00064;0.16572;-0.0263;-0.0;0.16266
560.0;0.0;136.5;2.0;0.0;0.09304;-0.00064;0.16561;-0.02602;-0.0;0.16255
562.0;0.0;138.0;2.0;0.0;0.09265;-0.00064;0.16551;-0.02575;-0.0;0.16244
564.0;0.0;139.5;2.0;0.0;0.09227;-0.00064;0.1654;-0.02548;-0.0;0.16233
566.0;0.0;141.0;2.0;0.0;0.09189;-0.00064;0.1653;-0.02522;0.0;0.16222
568.0;0.0;142.5;2.0;0.0;0.09151;-0.00064;0.16519;-0.02497;-0.0;0.16212
570.0;0.0;144.0;2.0;0.0;0.09114;-0.00064;0.16509;-0.02473;-0.0;0.16202
572.0;0.0;145.5;2.0;0.0;0.09077;-0.00064;0.16499;-0.02449;-0.0;0.16192
574.0;0.0;147.0;2.0;0.0;0.09041;-0.00064;0.16489;-0.02426;-0.0;0.16182
576.0;0.0;148.5;2.0;0.0;0.09004;-0.00064;0.1648;-0.02404;-0.0;0.16172
578.0;0.0;150.0;2.0;0.0;0.08969;-0.00064;0.16471;-0.02382;-0.0;0.16163
580.0;0.0;151.5;2.0;0.0;0.08933;-0.00065;0.16462;-0.02361;-0.0;0.16154
582.0;0.0;153.0;2.0;0.0;0.08898;-0.00065;0.16453;-0.02341;-0.0;0.16145
584.0;0.0;154.5;2.0;0.0;0.08863;-0.00065;0.16444;-0.02322;-0.0;0.16137
586.0;0.0;156.0;2.0;0.0;0.08828;-0.00065;0.16436;-0.02303;-0.0;0.16128
588.0;0.0;157.5;2.0;0.0;0.08794;-0.00065;0.16428;-0.02285;-0.0;0.1612
590.0;0.0;159.0;2.0;0.0;0.0876;-0.00065;0.1642;-0.02268;-0.0;0.16113
592.0;0.0;160.5;2.0;0.0;0.08726;-0.00065;0.16413;-0.02252;-0.0;0.16105
594.0;0.0;162.0;2.0;0.0;0.08692;-0.00065;0.16406;-0.02236;-0.0;0.16098
596.0;0.0;163.5;2.0;0.0;0.08659;-0.00065;0.16399;-0.02221;0.0;0.16092
598.0;0.0;165.0;2.0;0.0;0.08625;-0.00065;0.16392;-0.02206;-0.0;0.16085
600.0;0.0;166.5;2.0;0.0;0.08592;-0.00065;0.16386;-0.02193;-0.0;0.16079
602.0;0.0;168.0;2.0;0.0;0.0856;-0.00065;0.1638;-0.0218;-0.0;0.16073
604.0;0.0;169.5;2.0;0.0;0.08527;-0.00065;0.16374;-0.02168;-0.0;0.16068
606.0;0.0;171.0;2.0;0.0;0.08495;-0.00066;0.16369;-0.02156;-0.0;0.16062
608.0;0.0;172.5;2.0;0.0;0.08462;-0.00066;0.16364;-0.02145;0.0;0.16057
610.0;0.0;174.0;2.0;0.0;0.0843;-0.00066;0.16359;-0.02135;-0.0;0.16053
612.0;0.0;175.5;2.0;0.0;0.08398;-0.00066;0.16354;-0.02126;0.0;0.16048
614.0;0.0;177.0;2.0;0.0;0.08366;-0.00066;0.1635;-0.02117;-0.0;0.16044
